Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-06-26 00:00:00-04:00,168.44021647874678,169.91705768862437,166.96337526886916,167.08311462402344,5445100,0.0,0.0,0.0
2023-06-27 00:00:00-04:00,167.75168418946274,170.76525150327726,167.59202156559812,170.37608337402344,6916500,0.0,0.0,0.0
2023-06-28 00:00:00-04:00,169.42809556577126,171.3938978408411,169.29838300724322,170.47586059570312,5685800,0.0,0.0,0.0
2023-06-29 00:00:00-04:00,170.6554834249074,171.0845595921475,169.74741939148416,170.7752227783203,4564100,0.0,0.0,0.0
2023-06-30 00:00:00-04:00,172.47159548100228,173.92849025471762,172.34188292415016,173.4894256591797,5697800,0.0,0.0,0.0
2023-07-03 00:00:00-04:00,173.45949565912372,173.5393269720178,172.24209478345466,173.12022399902344,3091100,0.0,0.0,0.0
2023-07-05 00:00:00-04:00,171.91278924912905,173.33974916567342,171.76311506003177,172.052490234375,4697800,0.0,0.0,0.0
2023-07-06 00:00:00-04:00,170.35611291037415,171.75312273112152,169.8372170228401,171.59347534179688,6058200,0.0,0.0,0.0
2023-07-07 00:00:00-04:00,171.3140617150182,172.9106574515973,170.74528457126272,170.84507751464844,5811100,0.0,0.0,0.0
2023-07-10 00:00:00-04:00,170.22638653815122,171.30408636288703,169.57777809307436,171.2941131591797,8438600,0.0,0.0,0.0
2023-07-11 00:00:00-04:00,171.6533568738111,171.85292754395198,169.98691817742238,171.663330078125,4998700,0.0,0.0,0.0
2023-07-12 00:00:00-04:00,173.37965588000583,174.4274208744618,172.431683828361,173.60916137695312,8052200,0.0,0.0,0.0
2023-07-13 00:00:00-04:00,174.79662877249908,176.25352352751906,174.44738392235962,175.87432861328125,4674600,0.0,0.0,0.0
2023-07-14 00:00:00-04:00,176.31338833009005,177.69045173740665,175.10596074122674,175.61488342285156,5762800,0.0,0.0,0.0
2023-07-17 00:00:00-04:00,175.944186413775,178.37897283546684,175.7446005268811,177.86009216308594,5929400,0.0,0.0,0.0
2023-07-18 00:00:00-04:00,177.450964945762,180.7439341850848,176.52293928250242,179.8757781982422,8203400,0.0,0.0,0.0
2023-07-19 00:00:00-04:00,180.32483338954785,181.07323480627903,178.73821081411572,179.42674255371094,10495000,0.0,0.0,0.0
2023-07-20 00:00:00-04:00,178.27919248108097,179.03756707075698,175.2955601408319,175.84439086914062,12178000,0.0,0.0,0.0
2023-07-21 00:00:00-04:00,176.9620053164397,177.85010771846362,175.54503380007935,175.7545928955078,7434600,0.0,0.0,0.0
2023-07-24 00:00:00-04:00,176.53293377590026,176.96200995580242,175.38537577552108,176.06393432617188,5654100,0.0,0.0,0.0
2023-07-25 00:00:00-04:00,176.63269884595786,178.66835912583232,176.60276400886545,178.07962036132812,5401100,0.0,0.0,0.0
2023-07-26 00:00:00-04:00,176.21360728366363,176.64269868681563,174.44739087605475,175.6847381591797,7750800,0.0,0.0,0.0
2023-07-27 00:00:00-04:00,178.05966652728762,178.59850884481872,174.37752914098365,175.1758270263672,6928500,0.0,0.0,0.0
2023-07-28 00:00:00-04:00,176.80234014723777,178.08959908718745,176.43313366080616,177.56072998046875,5643700,0.0,0.0,0.0
2023-07-31 00:00:00-04:00,177.72039675142622,178.18939619305715,176.95203369633168,177.96986389160156,5069200,0.0,0.0,0.0
2023-08-01 00:00:00-04:00,177.39109684308147,178.64840573778858,176.92209740530046,178.2692108154297,4422900,0.0,0.0,0.0
2023-08-02 00:00:00-04:00,176.7025586810965,176.81232482693235,173.22998050797162,173.85862731933594,7909300,0.0,0.0,0.0
2023-08-03 00:00:00-04:00,172.44165314940506,174.16796139205806,172.3318870052904,173.150146484375,5660500,0.0,0.0,0.0
2023-08-04 00:00:00-04:00,172.5613976098647,173.59918940792713,170.52575250791983,170.79518127441406,7215200,0.0,0.0,0.0
2023-08-07 00:00:00-04:00,171.51364859283626,172.10238737392385,170.0367921987741,171.27415466308594,4768000,0.0,0.0,0.0
2023-08-08 00:00:00-04:00,170.07670956242927,170.17648727666221,168.25060838042535,169.95697021484375,5730900,0.0,0.0,0.0
2023-08-09 00:00:00-04:00,170.18648623734984,170.18648623734984,167.1828921219257,167.76165771484375,7150900,0.0,0.0,0.0
2023-08-10 00:00:00-04:00,169.03892509366165,170.5057930699726,166.95338349309577,167.7816162109375,6365700,0.0,0.0,0.0
2023-08-11 00:00:00-04:00,166.44447277168646,167.52217260426124,165.96550014374168,166.54425048828125,5384800,0.0,0.0,0.0
2023-08-14 00:00:00-04:00,166.37462324526567,169.2185547745028,165.9754819057748,169.19859313964844,5164000,0.0,0.0,0.0
2023-08-15 00:00:00-04:00,168.69965464502897,169.29838186559996,167.14298214306325,167.5321502685547,4683200,0.0,0.0,0.0
2023-08-16 00:00:00-04:00,167.17290930174647,168.13086976539938,165.92557367141274,165.935546875,4889700,0.0,0.0,0.0
2023-08-17 00:00:00-04:00,166.67397957014754,166.98331637865772,164.1094653622844,164.3589324951172,6307400,0.0,0.0,0.0
2023-08-18 00:00:00-04:00,162.6924774720865,165.27696852150495,162.59269975543424,164.6083984375,6828500,0.0,0.0,0.0
2023-08-21 00:00:00-04:00,165.4565778124021,168.09095011123588,165.2969151939842,167.75167846679688,6566400,0.0,0.0,0.0
2023-08-22 00:00:00-04:00,169.25846153204276,169.35825447929037,167.19288151515792,167.5620880126953,5682800,0.0,0.0,0.0
2023-08-23 00:00:00-04:00,167.9712064672876,171.08455131553404,167.9612332637409,170.5856170654297,5056600,0.0,0.0,0.0
2023-08-24 00:00:00-04:00,172.73105330065854,172.74102650477246,166.52430965825255,166.65402221679688,6964500,0.0,0.0,0.0
2023-08-25 00:00:00-04:00,167.32258425972506,169.27841323667872,165.83576992630944,168.35040283203125,7843300,0.0,0.0,0.0
2023-08-28 00:00:00-04:00,169.62768504651976,170.08669606566593,168.42025736764782,169.7274627685547,4481900,0.0,0.0,0.0
2023-08-29 00:00:00-04:00,169.238506855996,173.29982380930238,169.0588826049785,173.13018798828125,6856900,0.0,0.0,0.0
